ID,voter_reg_num,first_name,last_name,dob,sex,race,info1,info2,info3,info4,info5,type,file_id,cntfn,cntln,same
1,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
1,1000013655,CLARETTA,ADAMS,10/31/1944,F,B,o@gmail.com,77840,Tx,9796542356,ADAMS,1,A15,6,6,0
2,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
2,1000013651,CLARETTA,ADAMS,10/31/1946,F,B,p@gmail.com,77840,TX,9796542356,ADAMS,1,A16,6,6,0
3,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
3,1000013651,CLARETTA,ADAMS,10/31/1945,F,B,q@gmail.com,77840,TX,6636500439,ADAMS,1,A17,6,6,0
4,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
4,1000013651,CLARETTA,ADAMS,10/31/1944,M,B,r@gmail.com,77064,TX,6636500439,ADAMS,1,A18,6,6,0
5,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
5,1000013651,CLARETTA,ADAMS,10/31/1944,F,W,s@gmail.com,77064,Tx,6636500439,ADAMS,1,A19,6,6,0
6,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
6,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,B14,6,6,0
7,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
7,1000013655,CLARETTA,ADAMS,10/31/1944,F,B,o@gmail.com,77840,Tx,9796542356,ADAMS,1,B15,6,6,0
8,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
8,1000013651,CLARETTA,ADAMS,10/31/1946,F,B,p@gmail.com,77840,TX,9796542356,ADAMS,1,B16,6,6,0
9,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
9,1000013651,CLARETTA,ADAMS,10/31/1945,F,B,q@gmail.com,77840,TX,6636500439,ADAMS,1,B17,6,6,0
10,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
10,1000013651,CLARETTA,ADAMS,10/31/1944,M,B,r@gmail.com,77064,TX,6636500439,ADAMS,1,B18,6,6,0
11,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,n@gmail.com,77840,TX,9796542356,ADAMS,1,A14,6,6,0
11,1000013651,CLARETTA,ADAMS,10/31/1944,F,W,s@gmail.com,77064,Tx,6636500439,ADAMS,1,B19,6,6,0
12,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,i@gmail.com,77064,CA,9796542356,Gorge Bush,1,A9,5,5,0
12,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,j@gmail.com,77064,CA,9796542356,Gorge Bush,1,A10,5,5,0
13,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,i@gmail.com,77064,CA,9796542356,Gorge Bush,1,A9,5,5,0
13,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,k@gmail.com,77064,CA,9796542356,Gorge Bush,1,A11,5,5,0
14,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,i@gmail.com,77064,CA,9796542356,Gorge Bush,1,A9,5,5,0
14,1000001971,JEAN EWART,ABERNATHY,08/27/1930,M,W,l@gmail.com,77064,CA,9796542356,Gorge Bush,1,A12,5,5,0
15,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,i@gmail.com,77064,CA,9796542356,Gorge Bush,1,A9,5,5,0
